"Dataset_ID","R_Time","D1_node","Query_ID","SOLR_Index_Type","Run_ID","Ontology_Set_ID"
"doi:10.6073/AA/knb-lter-sev.18504.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/65/154595",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.65.59544",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.65.58917",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.65.60486",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sev.18906.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12004.110738",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12004.109115",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12004.107508",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12001.110741",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12007.107505",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12009.110733",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12002.110740",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.12001.107511",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
